"approach","parameter","truth","mean_est","bias","rmse","mae","sd_est","coverage","ci_width","n_ok","dep_type","dep_par","k_true","n","r","r_label","n_exc","n_exc_nom","S","m","sigma","p_thresh","threshold","cred_mass","interval","seed","secs"
"Conventional","zm",29.2644256180987,20.68304025084,-8.5813853672587,30.7859702698166,16.1758268685768,29.567265902581,0.1831,15.8026705356863,10000,"log",0.25,0.3,2000,NA,"auto",100,100,10000,2000,1,0.95,"empirical",0.95,"eti",243381,182.207328557968
"Weighted GPD","zm",29.2644256180987,41.5164116852993,12.2519860672006,284.422781967865,31.1798406769624,284.172981066226,0.3465,56.5363905807352,10000,"log",0.25,0.3,2000,NA,"auto",100,100,10000,2000,1,0.95,"empirical",0.95,"eti",243381,182.207328557968
"Cluster maxima (POT)","zm",29.2644256180987,48.6138101461815,19.3493845280828,528.632207772226,38.7054079697596,528.304384767738,0.2965,64.5364241412359,10000,"log",0.25,0.3,2000,NA,"auto",100,100,10000,2000,1,0.95,"empirical",0.95,"eti",243381,182.207328557968
"Conventional","k",0.3,-0.0257961301052331,-0.325796130105233,0.404116114592244,0.356960750638355,0.239107576050778,0.3121,0.439654593161928,10000,"log",0.25,0.3,2000,NA,"auto",100,100,10000,4000,1,0.95,"empirical",0.95,"eti",243381,379.03945350647
"Weighted GPD","k",0.3,0.237552464535696,-0.0624475354643036,0.350666416600622,0.27432275584731,0.345078467831378,0.5743,0.547998011782749,10000,"log",0.25,0.3,2000,NA,"auto",100,100,10000,4000,1,0.95,"empirical",0.95,"eti",243381,379.03945350647
"Cluster maxima (POT)","k",0.3,-0.029152195982047,-0.329152195982047,0.747522270768934,0.525484750897757,0.671188070899946,0.4104,0.505504873221877,10000,"log",0.25,0.3,2000,NA,"auto",100,100,10000,4000,1,0.95,"empirical",0.95,"eti",243381,379.03945350647
"Conventional","sigma",2.49966615798867,3.05895673541353,0.55929057742486,2.80049783716004,1.20097130256378,3.14668380691875,NA,NA,10000,"log",0.25,0.3,2000,NA,"auto",100,100,10000,4000,1,0.95,"empirical",0.95,"eti",243381,379.03945350647
"Weighted GPD","sigma",2.49966615798867,2.14641743694069,-0.353248721047974,1.9411398936622,0.940988643132114,2.26912517177322,NA,NA,10000,"log",0.25,0.3,2000,NA,"auto",100,100,10000,4000,1,0.95,"empirical",0.95,"eti",243381,379.03945350647
"Cluster maxima (POT)","sigma",2.49966615798867,4.68828157062131,2.18861541263264,10.4970437160053,2.99647029933287,10.6106564951969,NA,NA,10000,"log",0.25,0.3,2000,NA,"auto",100,100,10000,4000,1,0.95,"empirical",0.95,"eti",243381,379.03945350647
"Conventional","zm",36.7992154872864,25.114256203387,-11.6849592838994,64.8702996433622,23.4169034599309,63.8124181082624,0.2024,30.6791377001946,10000,"log",0.25,0.3,2000,NA,"auto",100,100,10000,4000,1,0.95,"empirical",0.95,"eti",243381,379.03945350647
"Weighted GPD","zm",36.7992154872864,82.7886530937844,45.989437606498,1363.59432058038,71.6847173284217,1362.88671164062,0.3891,158.067896320013,10000,"log",0.25,0.3,2000,NA,"auto",100,100,10000,4000,1,0.95,"empirical",0.95,"eti",243381,379.03945350647
"Cluster maxima (POT)","zm",36.7992154872864,116.301743401928,79.5025279146414,2838.13194648907,106.747829852343,2837.16006623897,0.3265,201.699051089658,10000,"log",0.25,0.3,2000,NA,"auto",100,100,10000,4000,1,0.95,"empirical",0.95,"eti",243381,379.03945350647
"Conventional","k",0.3,0.07706439653577,-0.22293560346423,0.322319193987498,0.279509069906406,0.232797764166003,0.3118,0.328948436966732,10000,"log",0.25,0.3,4000,NA,"auto",199.9999,200,10000,2000,1,0.95,"empirical",0.95,"eti",243409,500.522491931915
"Weighted GPD","k",0.3,0.300304406939756,0.000304406939755915,0.259486534118555,0.198666329829157,0.259499330857609,0.5756,0.387676486163931,10000,"log",0.25,0.3,4000,NA,"auto",199.9999,200,10000,2000,1,0.95,"empirical",0.95,"eti",243409,500.522491931915
"Cluster maxima (POT)","k",0.3,0.192446151109148,-0.107553848890852,0.398385946525265,0.290450209714163,0.383612105912177,0.4438,0.36992665080768,10000,"log",0.25,0.3,4000,NA,"auto",199.9999,200,10000,2000,1,0.95,"empirical",0.95,"eti",243409,500.522491931915
"Conventional","sigma",2.48137650112592,2.90355219820334,0.422175697077424,1.69138146364571,0.861571999563964,1.82997277481887,NA,NA,10000,"log",0.25,0.3,4000,NA,"auto",199.9999,200,10000,2000,1,0.95,"empirical",0.95,"eti",243409,500.522491931915
"Weighted GPD","sigma",2.48137650112592,2.10381888565596,-0.377557615469965,0.828164877255111,0.656855631875284,0.92298227573179,NA,NA,10000,"log",0.25,0.3,4000,NA,"auto",199.9999,200,10000,2000,1,0.95,"empirical",0.95,"eti",243409,500.522491931915
"Cluster maxima (POT)","sigma",2.48137650112592,2.96267791646716,0.481301415341241,3.16857503155156,1.17066380108614,3.26767626607487,NA,NA,10000,"log",0.25,0.3,4000,NA,"auto",199.9999,200,10000,2000,1,0.95,"empirical",0.95,"eti",243409,500.522491931915
"Conventional","zm",29.2644256180987,26.6354434762793,-2.62898214181941,39.9789576901843,16.9404561396686,39.8944190001343,0.1954,17.8311380606519,10000,"log",0.25,0.3,4000,NA,"auto",199.9999,200,10000,2000,1,0.95,"empirical",0.95,"eti",243409,500.522491931915
"Weighted GPD","zm",29.2644256180987,36.36096239762,7.09653677952127,84.9435700301865,20.7868745031446,84.6508466100209,0.3535,32.0796802345235,10000,"log",0.25,0.3,4000,NA,"auto",199.9999,200,10000,2000,1,0.95,"empirical",0.95,"eti",243409,500.522491931915
"Cluster maxima (POT)","zm",29.2644256180987,36.7828948548076,7.51846923670892,85.7284169109179,21.2087411952909,85.4023620442262,0.3221,31.5675774385656,10000,"log",0.25,0.3,4000,NA,"auto",199.9999,200,10000,2000,1,0.95,"empirical",0.95,"eti",243409,500.522491931915
"Conventional","k",0.3,0.07706439653577,-0.22293560346423,0.322319193987498,0.279509069906406,0.232797764166003,0.3118,0.328948436966732,10000,"log",0.25,0.3,4000,NA,"auto",199.9999,200,10000,4000,1,0.95,"empirical",0.95,"eti",243409,601.286100149155
"Weighted GPD","k",0.3,0.300304406939756,0.000304406939755915,0.259486534118555,0.198666329829157,0.259499330857609,0.5756,0.387676486163931,10000,"log",0.25,0.3,4000,NA,"auto",199.9999,200,10000,4000,1,0.95,"empirical",0.95,"eti",243409,601.286100149155
"Cluster maxima (POT)","k",0.3,0.192446151109148,-0.107553848890852,0.398385946525265,0.290450209714163,0.383612105912177,0.4438,0.36992665080768,10000,"log",0.25,0.3,4000,NA,"auto",199.9999,200,10000,4000,1,0.95,"empirical",0.95,"eti",243409,601.286100149155
"Conventional","sigma",2.48137650112592,2.90355219820334,0.422175697077424,1.69138146364571,0.861571999563964,1.82997277481887,NA,NA,10000,"log",0.25,0.3,4000,NA,"auto",199.9999,200,10000,4000,1,0.95,"empirical",0.95,"eti",243409,601.286100149155
"Weighted GPD","sigma",2.48137650112592,2.10381888565596,-0.377557615469965,0.828164877255111,0.656855631875284,0.92298227573179,NA,NA,10000,"log",0.25,0.3,4000,NA,"auto",199.9999,200,10000,4000,1,0.95,"empirical",0.95,"eti",243409,601.286100149155
"Cluster maxima (POT)","sigma",2.48137650112592,2.96267791646716,0.481301415341241,3.16857503155156,1.17066380108614,3.26767626607487,NA,NA,10000,"log",0.25,0.3,4000,NA,"auto",199.9999,200,10000,4000,1,0.95,"empirical",0.95,"eti",243409,601.286100149155
"Conventional","zm",36.7992154872864,35.1403643552413,-1.65885113204509,82.8866805382264,26.5087082248854,82.8742229963662,0.214,36.3767172820931,10000,"log",0.25,0.3,4000,NA,"auto",199.9999,200,10000,4000,1,0.95,"empirical",0.95,"eti",243409,601.286100149155
"Weighted GPD","zm",36.7992154872864,57.2850863337372,20.4858708464508,246.836329736873,39.1738425275807,245.997061423619,0.3936,74.5196597177588,10000,"log",0.25,0.3,4000,NA,"auto",199.9999,200,10000,4000,1,0.95,"empirical",0.95,"eti",243409,601.286100149155
"Cluster maxima (POT)","zm",36.7992154872864,57.9670846170242,21.1678691297378,247.575212340261,40.7019386711379,246.680952306932,0.3515,74.9753988716984,10000,"log",0.25,0.3,4000,NA,"auto",199.9999,200,10000,4000,1,0.95,"empirical",0.95,"eti",243409,601.286100149155
"Conventional","k",0.3,0.127305769194305,-0.172694230805695,0.284619018066555,0.243078383345425,0.226251645457678,0.3054,0.276194147097002,10000,"log",0.25,0.3,6000,NA,"auto",300,300,10000,2000,1,0.95,"empirical",0.95,"eti",243437,2627.61092019081
"Weighted GPD","k",0.3,0.316903991903787,0.0169039919037869,0.211520595022366,0.16188503634446,0.210854601900567,0.5738,0.313422820090463,10000,"log",0.25,0.3,6000,NA,"auto",300,300,10000,2000,1,0.95,"empirical",0.95,"eti",243437,2627.61092019081
"Cluster maxima (POT)","k",0.3,0.246185305439214,-0.0538146945607857,0.289666560262333,0.219398804684058,0.284638009870796,0.4406,0.299290507807884,10000,"log",0.25,0.3,6000,NA,"auto",300,300,10000,2000,1,0.95,"empirical",0.95,"eti",243437,2627.61092019081
"Conventional","sigma",2.4695866173478,2.78910228805725,0.319515670709444,1.25843423137028,0.681821111812854,1.37630302422282,NA,NA,10000,"log",0.25,0.3,6000,NA,"auto",300,300,10000,2000,1,0.95,"empirical",0.95,"eti",243437,2627.61092019081
"Weighted GPD","sigma",2.4695866173478,2.10266360153395,-0.366923015813853,0.764180877234629,0.567902628218222,0.81203352579862,NA,NA,10000,"log",0.25,0.3,6000,NA,"auto",300,300,10000,2000,1,0.95,"empirical",0.95,"eti",243437,2627.61092019081
"Cluster maxima (POT)","sigma",2.4695866173478,2.61497390818244,0.145387290834638,2.73852882295238,0.797552350339405,2.81407330273635,NA,NA,10000,"log",0.25,0.3,6000,NA,"auto",300,300,10000,2000,1,0.95,"empirical",0.95,"eti",243437,2627.61092019081
"Conventional","zm",29.2644256180987,31.339456468765,2.07503085066636,116.057771970461,19.1700907862553,116.045022842209,0.2011,20.5240027232555,10000,"log",0.25,0.3,6000,NA,"auto",300,300,10000,2000,1,0.95,"empirical",0.95,"eti",243437,2627.61092019081
"Weighted GPD","zm",29.2644256180987,32.6384856351946,3.37406001709594,37.2474876024369,14.8461828785257,37.0962082234989,0.3498,20.3642190632299,10000,"log",0.25,0.3,6000,NA,"auto",300,300,10000,2000,1,0.95,"empirical",0.95,"eti",243437,2627.61092019081
"Cluster maxima (POT)","zm",29.2644256180987,32.6042821754615,3.33985655736278,38.4682259979375,14.8114007213003,38.3248828996197,0.3212,19.3616177055406,10000,"log",0.25,0.3,6000,NA,"auto",300,300,10000,2000,1,0.95,"empirical",0.95,"eti",243437,2627.61092019081
"Conventional","k",0.3,0.127305769194305,-0.172694230805695,0.284619018066555,0.243078383345425,0.226251645457678,0.3054,0.276194147097002,10000,"log",0.25,0.3,6000,NA,"auto",300,300,10000,4000,1,0.95,"empirical",0.95,"eti",243437,326.308572292328
"Weighted GPD","k",0.3,0.316903991903787,0.0169039919037869,0.211520595022366,0.16188503634446,0.210854601900567,0.5738,0.313422820090463,10000,"log",0.25,0.3,6000,NA,"auto",300,300,10000,4000,1,0.95,"empirical",0.95,"eti",243437,326.308572292328
"Cluster maxima (POT)","k",0.3,0.246185305439214,-0.0538146945607857,0.289666560262333,0.219398804684058,0.284638009870796,0.4406,0.299290507807884,10000,"log",0.25,0.3,6000,NA,"auto",300,300,10000,4000,1,0.95,"empirical",0.95,"eti",243437,326.308572292328
"Conventional","sigma",2.4695866173478,2.78910228805725,0.319515670709444,1.25843423137028,0.681821111812854,1.37630302422282,NA,NA,10000,"log",0.25,0.3,6000,NA,"auto",300,300,10000,4000,1,0.95,"empirical",0.95,"eti",243437,326.308572292328
"Weighted GPD","sigma",2.4695866173478,2.10266360153395,-0.366923015813853,0.764180877234629,0.567902628218222,0.81203352579862,NA,NA,10000,"log",0.25,0.3,6000,NA,"auto",300,300,10000,4000,1,0.95,"empirical",0.95,"eti",243437,326.308572292328
"Cluster maxima (POT)","sigma",2.4695866173478,2.61497390818244,0.145387290834638,2.73852882295238,0.797552350339405,2.81407330273635,NA,NA,10000,"log",0.25,0.3,6000,NA,"auto",300,300,10000,4000,1,0.95,"empirical",0.95,"eti",243437,326.308572292328
"Conventional","zm",36.7992154872864,46.5029704365713,9.70375494928482,354.269538781317,34.4624216584329,354.154324803169,0.2185,49.7753197300921,10000,"log",0.25,0.3,6000,NA,"auto",300,300,10000,4000,1,0.95,"empirical",0.95,"eti",243437,326.308572292328
"Weighted GPD","zm",36.7992154872864,46.1841029130293,9.38488742574289,82.9855164657439,25.0165391789974,82.4572601477122,0.3911,41.1043221886084,10000,"log",0.25,0.3,6000,NA,"auto",300,300,10000,4000,1,0.95,"empirical",0.95,"eti",243437,326.308572292328
"Cluster maxima (POT)","zm",36.7992154872864,45.6017736344504,8.80255814716401,85.514810164478,25.1815329194371,85.0648066456715,0.3539,39.2530374389334,10000,"log",0.25,0.3,6000,NA,"auto",300,300,10000,4000,1,0.95,"empirical",0.95,"eti",243437,326.308572292328
"Conventional","k",0.3,0.158946100220924,-0.141053899779076,0.256084645793461,0.216228263576422,0.213746840770737,0.3033,0.242172453283597,10000,"log",0.25,0.3,8000,NA,"auto",399.9999,400,10000,2000,1,0.95,"empirical",0.95,"eti",243465,3554.02249693871
"Weighted GPD","k",0.3,0.324997040000025,0.0249970400000248,0.185043327000691,0.140816797364963,0.183356327441959,0.5716,0.269861852668286,10000,"log",0.25,0.3,8000,NA,"auto",399.9999,400,10000,2000,1,0.95,"empirical",0.95,"eti",243465,3554.02249693871
"Cluster maxima (POT)","k",0.3,0.269224453284403,-0.0307755467155971,0.237628104046126,0.18338222498783,0.235638566687042,0.4484,0.257954548964686,10000,"log",0.25,0.3,8000,NA,"auto",399.9999,400,10000,2000,1,0.95,"empirical",0.95,"eti",243465,3554.02249693871
"Conventional","sigma",2.46797116465197,2.72363243885061,0.255661274198642,0.933469751056187,0.577574916698048,1.03058291263942,NA,NA,10000,"log",0.25,0.3,8000,NA,"auto",399.9999,400,10000,2000,1,0.95,"empirical",0.95,"eti",243465,3554.02249693871
"Weighted GPD","sigma",2.46797116465197,2.12402181033433,-0.343949354317638,0.610382257408507,0.508567456804976,0.622739683789169,NA,NA,10000,"log",0.25,0.3,8000,NA,"auto",399.9999,400,10000,2000,1,0.95,"empirical",0.95,"eti",243465,3554.02249693871
"Cluster maxima (POT)","sigma",2.46797116465197,2.50509957292562,0.0371284082736498,0.958176082292704,0.637778557787462,1.0485124318446,NA,NA,10000,"log",0.25,0.3,8000,NA,"auto",399.9999,400,10000,2000,1,0.95,"empirical",0.95,"eti",243465,3554.02249693871
"Conventional","zm",29.2644256180987,32.6135965402648,3.34917092216615,155.111906423809,18.648325227338,155.083498985961,0.1985,18.8299865871481,10000,"log",0.25,0.3,8000,NA,"auto",399.9999,400,10000,2000,1,0.95,"empirical",0.95,"eti",243465,3554.02249693871
"Weighted GPD","zm",29.2644256180987,31.952927174048,2.68850155594936,36.5623636301133,12.6051202807229,36.4652075921797,0.3464,17.1994525251515,10000,"log",0.25,0.3,8000,NA,"auto",399.9999,400,10000,2000,1,0.95,"empirical",0.95,"eti",243465,3554.02249693871
"Cluster maxima (POT)","zm",29.2644256180987,31.8771818229567,2.61275620485798,37.2525799209336,12.524702027219,37.1627006878102,0.3247,16.2617812275358,10000,"log",0.25,0.3,8000,NA,"auto",399.9999,400,10000,2000,1,0.95,"empirical",0.95,"eti",243465,3554.02249693871
"Conventional","k",0.3,0.158946100220924,-0.141053899779076,0.256084645793461,0.216228263576422,0.213746840770737,0.3033,0.242172453283597,10000,"log",0.25,0.3,8000,NA,"auto",399.9999,400,10000,4000,1,0.95,"empirical",0.95,"eti",243465,3415.98284220695
"Weighted GPD","k",0.3,0.324997040000025,0.0249970400000248,0.185043327000691,0.140816797364963,0.183356327441959,0.5716,0.269861852668286,10000,"log",0.25,0.3,8000,NA,"auto",399.9999,400,10000,4000,1,0.95,"empirical",0.95,"eti",243465,3415.98284220695
"Cluster maxima (POT)","k",0.3,0.269224453284403,-0.0307755467155971,0.237628104046126,0.18338222498783,0.235638566687042,0.4484,0.257954548964686,10000,"log",0.25,0.3,8000,NA,"auto",399.9999,400,10000,4000,1,0.95,"empirical",0.95,"eti",243465,3415.98284220695
"Conventional","sigma",2.46797116465197,2.72363243885061,0.255661274198642,0.933469751056187,0.577574916698048,1.03058291263942,NA,NA,10000,"log",0.25,0.3,8000,NA,"auto",399.9999,400,10000,4000,1,0.95,"empirical",0.95,"eti",243465,3415.98284220695
"Weighted GPD","sigma",2.46797116465197,2.12402181033433,-0.343949354317638,0.610382257408507,0.508567456804976,0.622739683789169,NA,NA,10000,"log",0.25,0.3,8000,NA,"auto",399.9999,400,10000,4000,1,0.95,"empirical",0.95,"eti",243465,3415.98284220695
"Cluster maxima (POT)","sigma",2.46797116465197,2.50509957292562,0.0371284082736498,0.958176082292704,0.637778557787462,1.0485124318446,NA,NA,10000,"log",0.25,0.3,8000,NA,"auto",399.9999,400,10000,4000,1,0.95,"empirical",0.95,"eti",243465,3415.98284220695
"Conventional","zm",36.7992154872864,50.1084634004957,13.3092479132093,507.570727048935,35.5678219672645,507.421574770351,0.2189,48.6826269234369,10000,"log",0.25,0.3,8000,NA,"auto",399.9999,400,10000,4000,1,0.95,"empirical",0.95,"eti",243465,3415.98284220695
"Weighted GPD","zm",36.7992154872864,44.5456669671294,7.74645147984298,109.133187827043,21.251183571419,108.863356083638,0.3859,37.023314278583,10000,"log",0.25,0.3,8000,NA,"auto",399.9999,400,10000,4000,1,0.95,"empirical",0.95,"eti",243465,3415.98284220695
"Cluster maxima (POT)","zm",36.7992154872864,43.9516373647504,7.15242187746393,111.456146965772,21.3314826572647,111.231977475112,0.3501,35.0691041668086,10000,"log",0.25,0.3,8000,NA,"auto",399.9999,400,10000,4000,1,0.95,"empirical",0.95,"eti",243465,3415.98284220695
"Conventional","k",0.3,0.175670995700259,-0.124329004299741,0.239842348083366,0.200900320000469,0.20511181757702,0.304,0.217741440277205,10000,"log",0.25,0.3,10000,NA,"auto",500,500,10000,2000,1,0.95,"empirical",0.95,"eti",244796,3264.06279301643
"Weighted GPD","k",0.3,0.326755003672561,0.0267550036725609,0.163302749596445,0.12551950551459,0.161104168970162,0.5713,0.240594585040677,10000,"log",0.25,0.3,10000,NA,"auto",500,500,10000,2000,1,0.95,"empirical",0.95,"eti",244796,3264.06279301643
"Cluster maxima (POT)","k",0.3,0.277439506570881,-0.0225604934291194,0.207864068220085,0.162060526597121,0.206646474128561,0.4461,0.230358258950599,10000,"log",0.25,0.3,10000,NA,"auto",500,500,10000,2000,1,0.95,"empirical",0.95,"eti",244796,3264.06279301643
"Conventional","sigma",2.4680619246384,2.69653118736203,0.22846926272363,0.811436439434682,0.514689427413061,0.905040922373427,NA,NA,10000,"log",0.25,0.3,10000,NA,"auto",500,500,10000,2000,1,0.95,"empirical",0.95,"eti",244796,3264.06279301643
"Weighted GPD","sigma",2.4680619246384,2.14829435624692,-0.319767568391475,0.561015919214038,0.465284329051526,0.572047563239249,NA,NA,10000,"log",0.25,0.3,10000,NA,"auto",500,500,10000,2000,1,0.95,"empirical",0.95,"eti",244796,3264.06279301643
"Cluster maxima (POT)","sigma",2.4680619246384,2.47613636885421,0.00807444421581018,0.792855874573055,0.562615198316253,0.880190767650611,NA,NA,10000,"log",0.25,0.3,10000,NA,"auto",500,500,10000,2000,1,0.95,"empirical",0.95,"eti",244796,3264.06279301643
"Conventional","zm",29.2644256180987,30.5826292670705,1.31820364897181,56.0972629917152,15.5493022711792,56.0845772229917,0.1924,13.2426162390942,10000,"log",0.25,0.3,10000,NA,"auto",500,500,10000,2000,1,0.95,"empirical",0.95,"eti",244796,3264.06279301643
"Weighted GPD","zm",29.2644256180987,31.1315961838577,1.86717056575903,20.9494844303399,10.8308820922866,20.8671539934653,0.3447,13.5271974744448,10000,"log",0.25,0.3,10000,NA,"auto",500,500,10000,2000,1,0.95,"empirical",0.95,"eti",244796,3264.06279301643
"Cluster maxima (POT)","zm",29.2644256180987,31.0127823265897,1.74835670849104,21.2799390010561,10.7629076737739,21.2090554978776,0.3236,12.7928490209705,10000,"log",0.25,0.3,10000,NA,"auto",500,500,10000,2000,1,0.95,"empirical",0.95,"eti",244796,3264.06279301643
"Conventional","k",0.3,0.175670995700259,-0.124329004299741,0.239842348083366,0.200900320000469,0.20511181757702,0.304,0.217741440277205,10000,"log",0.25,0.3,10000,NA,"auto",500,500,10000,4000,1,0.95,"empirical",0.95,"eti",244796,3964.00122117996
"Weighted GPD","k",0.3,0.326755003672561,0.0267550036725609,0.163302749596445,0.12551950551459,0.161104168970162,0.5713,0.240594585040677,10000,"log",0.25,0.3,10000,NA,"auto",500,500,10000,4000,1,0.95,"empirical",0.95,"eti",244796,3964.00122117996
"Cluster maxima (POT)","k",0.3,0.277439506570881,-0.0225604934291194,0.207864068220085,0.162060526597121,0.206646474128561,0.4461,0.230358258950599,10000,"log",0.25,0.3,10000,NA,"auto",500,500,10000,4000,1,0.95,"empirical",0.95,"eti",244796,3964.00122117996
"Conventional","sigma",2.4680619246384,2.69653118736203,0.22846926272363,0.811436439434682,0.514689427413061,0.905040922373427,NA,NA,10000,"log",0.25,0.3,10000,NA,"auto",500,500,10000,4000,1,0.95,"empirical",0.95,"eti",244796,3964.00122117996
"Weighted GPD","sigma",2.4680619246384,2.14829435624692,-0.319767568391475,0.561015919214038,0.465284329051526,0.572047563239249,NA,NA,10000,"log",0.25,0.3,10000,NA,"auto",500,500,10000,4000,1,0.95,"empirical",0.95,"eti",244796,3964.00122117996
"Cluster maxima (POT)","sigma",2.4680619246384,2.47613636885421,0.00807444421581018,0.792855874573055,0.562615198316253,0.880190767650611,NA,NA,10000,"log",0.25,0.3,10000,NA,"auto",500,500,10000,4000,1,0.95,"empirical",0.95,"eti",244796,3964.00122117996
"Conventional","zm",36.7992154872864,42.2955389088581,5.49632342157162,145.962126292159,26.2646316930013,145.865898779038,0.2115,27.6082542270324,10000,"log",0.25,0.3,10000,NA,"auto",500,500,10000,4000,1,0.95,"empirical",0.95,"eti",244796,3964.00122117996
"Weighted GPD","zm",36.7992154872864,41.8834689971901,5.08425350990368,39.9279473423382,17.2886012063272,39.6049012123445,0.3879,25.2861721218262,10000,"log",0.25,0.3,10000,NA,"auto",500,500,10000,4000,1,0.95,"empirical",0.95,"eti",244796,3964.00122117996
"Cluster maxima (POT)","zm",36.7992154872864,41.2166852208278,4.41746973354135,40.5805592573178,17.3405979932657,40.3414240432748,0.3544,23.8347712004387,10000,"log",0.25,0.3,10000,NA,"auto",500,500,10000,4000,1,0.95,"empirical",0.95,"eti",244796,3964.00122117996
"Conventional","k",0.3,0.210313065439121,-0.0896869345608791,0.207703059869695,0.1708532670011,0.187350806992644,NA,NA,10000,"log",0.25,0.3,15000,NA,"auto",750,750.000000000001,10000,2000,1,0.95,"empirical",NA,NA,244871,9917.2405872345
"Weighted GPD","k",0.3,0.330226880992507,0.0302268809925074,0.133664223100679,0.102323882550235,0.130208124240136,NA,NA,10000,"log",0.25,0.3,15000,NA,"auto",750,750.000000000001,10000,2000,1,0.95,"empirical",NA,NA,244871,9917.2405872345
"Cluster maxima (POT)","k",0.3,0.294187231393632,-0.00581276860636765,0.163503356912502,0.127790208422235,0.163408168907654,NA,NA,10000,"log",0.25,0.3,15000,NA,"auto",750,750.000000000001,10000,2000,1,0.95,"empirical",NA,NA,244871,9917.2405872345
"Conventional","sigma",2.4633218492247,2.6254958625099,0.162174013285202,0.581354652252915,0.405846130274344,0.656620871508255,NA,NA,10000,"log",0.25,0.3,15000,NA,"auto",750,750.000000000001,10000,2000,1,0.95,"empirical",NA,NA,244871,9917.2405872345
"Weighted GPD","sigma",2.4633218492247,2.17091253762014,-0.292409311604567,0.471693594340765,0.396020935936143,0.45662398539499,NA,NA,10000,"log",0.25,0.3,15000,NA,"auto",750,750.000000000001,10000,2000,1,0.95,"empirical",NA,NA,244871,9917.2405872345
"Cluster maxima (POT)","sigma",2.4633218492247,2.40089664486566,-0.0624252043590413,0.584543341250629,0.440602369368417,0.649271711606272,NA,NA,10000,"log",0.25,0.3,15000,NA,"auto",750,750.000000000001,10000,2000,1,0.95,"empirical",NA,NA,244871,9917.2405872345
"Conventional","zm",29.2644256180987,31.0454025904065,1.78097697230777,84.5648170870384,13.7406034461849,84.5502884981292,NA,NA,10000,"log",0.25,0.3,15000,NA,"auto",750,750.000000000001,10000,2000,1,0.95,"empirical",NA,NA,244871,9917.2405872345
"Weighted GPD","zm",29.2644256180987,30.2653630962302,1.00093747813147,12.9916282085959,8.25900740183773,12.9536600004013,NA,NA,10000,"log",0.25,0.3,15000,NA,"auto",750,750.000000000001,10000,2000,1,0.95,"empirical",NA,NA,244871,9917.2405872345
"Cluster maxima (POT)","zm",29.2644256180987,30.1361838298282,0.871758211729518,12.9508752445802,8.24069020448423,12.9221478637068,NA,NA,10000,"log",0.25,0.3,15000,NA,"auto",750,750.000000000001,10000,2000,1,0.95,"empirical",NA,NA,244871,9917.2405872345
"Conventional","k",0.3,0.210313065439121,-0.0896869345608791,0.207703059869695,0.1708532670011,0.187350806992644,NA,NA,10000,"log",0.25,0.3,15000,NA,"auto",750,750.000000000001,10000,4000,1,0.95,"empirical",NA,NA,244871,5387.57837533951
"Weighted GPD","k",0.3,0.330226880992507,0.0302268809925074,0.133664223100679,0.102323882550235,0.130208124240136,NA,NA,10000,"log",0.25,0.3,15000,NA,"auto",750,750.000000000001,10000,4000,1,0.95,"empirical",NA,NA,244871,5387.57837533951
"Cluster maxima (POT)","k",0.3,0.294187231393632,-0.00581276860636765,0.163503356912502,0.127790208422235,0.163408168907654,NA,NA,10000,"log",0.25,0.3,15000,NA,"auto",750,750.000000000001,10000,4000,1,0.95,"empirical",NA,NA,244871,5387.57837533951
"Conventional","sigma",2.4633218492247,2.6254958625099,0.162174013285202,0.581354652252915,0.405846130274344,0.656620871508255,NA,NA,10000,"log",0.25,0.3,15000,NA,"auto",750,750.000000000001,10000,4000,1,0.95,"empirical",NA,NA,244871,5387.57837533951
"Weighted GPD","sigma",2.4633218492247,2.17091253762014,-0.292409311604567,0.471693594340765,0.396020935936143,0.45662398539499,NA,NA,10000,"log",0.25,0.3,15000,NA,"auto",750,750.000000000001,10000,4000,1,0.95,"empirical",NA,NA,244871,5387.57837533951
"Cluster maxima (POT)","sigma",2.4633218492247,2.40089664486566,-0.0624252043590413,0.584543341250629,0.440602369368417,0.649271711606272,NA,NA,10000,"log",0.25,0.3,15000,NA,"auto",750,750.000000000001,10000,4000,1,0.95,"empirical",NA,NA,244871,5387.57837533951
"Conventional","zm",36.7992154872864,43.3000815715788,6.50086608429235,285.152903539922,24.088970296099,285.093046112837,NA,NA,10000,"log",0.25,0.3,15000,NA,"auto",750,750.000000000001,10000,4000,1,0.95,"empirical",NA,NA,244871,5387.57837533951
"Weighted GPD","zm",36.7992154872864,39.8253659832459,3.02615049595948,22.5975068863732,12.8891980365162,22.3950861718359,NA,NA,10000,"log",0.25,0.3,15000,NA,"auto",750,750.000000000001,10000,4000,1,0.95,"empirical",NA,NA,244871,5387.57837533951
"Cluster maxima (POT)","zm",36.7992154872864,39.2526055780611,2.45339009077466,22.5924217642835,13.0026175265641,22.4599386268545,NA,NA,10000,"log",0.25,0.3,15000,NA,"auto",750,750.000000000001,10000,4000,1,0.95,"empirical",NA,NA,244871,5387.57837533951
"Conventional","k",0.3,0.227168464273038,-0.0728315357269619,0.185406060570282,0.152088155153147,0.170510650951934,NA,NA,10000,"log",0.25,0.3,20000,NA,"auto",999.9999,1000,10000,2000,1,0.95,"empirical",NA,NA,244810,5787.89509367943
