"approach","parameter","truth","mean_est","bias","rmse","mae","sd_est","coverage","ci_width","n_ok","dep_type","dep_par","k_true","n","r","r_label","n_exc","n_exc_nom","S","m","sigma","p_thresh","threshold","cred_mass","interval","seed","secs"
"Weighted GPD","k",-0.3,-0.243305518326905,0.0566944816730947,0.530923455510586,0.381471109457945,0.527914122458558,0.5072,0.544389555386348,10000,"log",0.05,-0.3,2000,NA,"auto",99.9999,100,10000,2000,1,0.95,"empirical",0.95,"eti",244845,463.708339929581
"Cluster maxima (POT)","k",-0.3,-1.18967914386917,-0.889679143869168,1.41774744602426,1.21732271953786,1.10390248742482,0.1273,0.253127719486638,10000,"log",0.05,-0.3,2000,NA,"auto",99.9999,100,10000,2000,1,0.95,"empirical",0.95,"eti",244845,463.708339929581
"Conventional","sigma",0.52543438600255,0.180233229697136,-0.345201156305414,0.382330692857709,0.350384285979032,0.115578906643188,NA,NA,10000,"log",0.05,-0.3,2000,NA,"auto",99.9999,100,10000,2000,1,0.95,"empirical",0.95,"eti",244845,463.708339929581
"Weighted GPD","sigma",0.52543438600255,0.151140474902431,-0.374293911100119,0.418573626087063,0.389395188143724,0.143855071504446,NA,NA,10000,"log",0.05,-0.3,2000,NA,"auto",99.9999,100,10000,2000,1,0.95,"empirical",0.95,"eti",244845,463.708339929581
"Cluster maxima (POT)","sigma",0.52543438600255,0.406050971756629,-0.119383414245921,0.34394131411278,0.269156903439921,0.328606196278114,NA,NA,10000,"log",0.05,-0.3,2000,NA,"auto",99.9999,100,10000,2000,1,0.95,"empirical",0.95,"eti",244845,463.708339929581
"Conventional","zm",2.99247827247882,1.89786797613383,-1.09461029634499,1.17850920460812,1.09532739188468,0.436727967519085,0.0041,0.0780250956977235,10000,"log",0.05,-0.3,2000,NA,"auto",99.9999,100,10000,2000,1,0.95,"empirical",0.95,"eti",244845,463.708339929581
"Weighted GPD","zm",2.99247827247882,2.18053925115473,-0.811939021324092,1.49187194762617,1.09722699868716,1.25163636617209,0.1254,0.691624286220209,10000,"log",0.05,-0.3,2000,NA,"auto",99.9999,100,10000,2000,1,0.95,"empirical",0.95,"eti",244845,463.708339929581
"Cluster maxima (POT)","zm",2.99247827247882,2.17943900756147,-0.813039264917348,2.02314996636058,1.16492626890957,1.85268620783606,0.0936,0.570175187074263,10000,"log",0.05,-0.3,2000,NA,"auto",99.9999,100,10000,2000,1,0.95,"empirical",0.95,"eti",244845,463.708339929581
"Conventional","k",-0.3,-0.498699310588703,-0.198699310588703,0.315349258046974,0.248425514395441,0.244887189325822,0.4273,0.288387485866246,10000,"log",0.05,-0.3,2000,NA,"auto",99.9999,100,10000,4000,1,0.95,"empirical",0.95,"eti",244845,212.998138666153
"Weighted GPD","k",-0.3,-0.243305518326905,0.0566944816730947,0.530923455510586,0.381471109457945,0.527914122458558,0.5072,0.544389555386348,10000,"log",0.05,-0.3,2000,NA,"auto",99.9999,100,10000,4000,1,0.95,"empirical",0.95,"eti",244845,212.998138666153
"Cluster maxima (POT)","k",-0.3,-1.18967914386917,-0.889679143869168,1.41774744602426,1.21732271953786,1.10390248742482,0.1273,0.253127719486638,10000,"log",0.05,-0.3,2000,NA,"auto",99.9999,100,10000,4000,1,0.95,"empirical",0.95,"eti",244845,212.998138666153
"Conventional","sigma",0.52543438600255,0.180233229697136,-0.345201156305414,0.382330692857709,0.350384285979032,0.115578906643188,NA,NA,10000,"log",0.05,-0.3,2000,NA,"auto",99.9999,100,10000,4000,1,0.95,"empirical",0.95,"eti",244845,212.998138666153
"Weighted GPD","sigma",0.52543438600255,0.151140474902431,-0.374293911100119,0.418573626087063,0.389395188143724,0.143855071504446,NA,NA,10000,"log",0.05,-0.3,2000,NA,"auto",99.9999,100,10000,4000,1,0.95,"empirical",0.95,"eti",244845,212.998138666153
"Cluster maxima (POT)","sigma",0.52543438600255,0.406050971756629,-0.119383414245921,0.34394131411278,0.269156903439921,0.328606196278114,NA,NA,10000,"log",0.05,-0.3,2000,NA,"auto",99.9999,100,10000,4000,1,0.95,"empirical",0.95,"eti",244845,212.998138666153
"Conventional","zm",3.0564729933441,1.91249362188008,-1.14397937146403,1.22401467723044,1.14450138875064,0.43536430945646,0.0063,0.106186157577746,10000,"log",0.05,-0.3,2000,NA,"auto",99.9999,100,10000,4000,1,0.95,"empirical",0.95,"eti",244845,212.998138666153
"Weighted GPD","zm",3.0564729933441,2.51221260387304,-0.544260389471061,3.19964965292451,1.38422401310457,3.15317820352594,0.1679,1.67884834402158,10000,"log",0.05,-0.3,2000,NA,"auto",99.9999,100,10000,4000,1,0.95,"empirical",0.95,"eti",244845,212.998138666153
